image_path,en_caption,caption_es,caption_zh,caption_ur,similarity
/content/flickr30k_images/1000092795.jpg,Two young guys with shaggy hair look at their hands while hanging out in the yard .,Dos chicos jóvenes con el pelo shaggy mirar a sus manos mientras que colgando en el patio.,两个毛发发发型的年轻人 一边在院子里晃来晃去 一边看着自己的手,لوکی بال کے دو لڑکے اپنے ہاتھوں کی طرف دیکھ رہے ہیں جب وہ صحن میں باہر کھڑے ہو رہے ہیں۔,0.8120921
/content/flickr30k_images/10002456.jpg,Several men in hard hats are operating a giant pulley system .,Varios hombres con sombreros duros están operando un sistema de polea gigante.,几个戴硬帽的男人 正在运行一个巨大的滑轮系统。,سخت ٹوپیوں میں بہت سے مرد ایک کیمیائی عمل کو تشکیل دے رہے ہیں ۔,0.8459671
/content/flickr30k_images/1000268201.jpg,A child in a pink dress is climbing up a set of stairs in an entry way .,Un niño en un vestido rosa es subir un conjunto de escaleras en una manera de entrada.,穿粉红色裙子的孩子 爬上楼梯 进入的方式。,ایک بچہ سنہرے لباس میں سیڑھیوں کے ایک سیٹ پر چڑھ رہا ہے ۔,0.80107445
/content/flickr30k_images/1000344755.jpg,Someone in a blue shirt and hat is standing on stair and leaning against a window .,Alguien con una camisa azul y sombrero está de pie en la escalera y apoyado en una ventana.,"穿着蓝衬衫和帽子的人站在楼梯上,靠在窗户上。",کوئی نیلے چہرے اور ٹوپی میں کھڑے ہو کر کھڑکی سے نیچے کھڑے ہو جاتا ہے ۔,0.84216917
/content/flickr30k_images/1000366164.jpg,"Two men , one in a gray shirt , one in a black shirt , standing near a stove .","Dos hombres, uno en camisa gris, uno en camisa negra, de pie cerca de una estufa.","两个男人,一个穿灰色衬衫, 一个穿黑色衬衫, 站在炉子附近。",دو آدمی ایک چہرے پر ایک سفید چہرے کے قریب کھڑے ہو جاتے ہیں ۔,0.90041345
/content/flickr30k_images/10010052.jpg,A girl is on rollerskates talking on her cellphone standing in a parking lot .,Una chica está en patines hablando en su teléfono móvil de pie en un estacionamiento.,一个女孩在云层上 说话 用她的手机 站在停车场。,ایک لڑکی اپنے موبائل فون پر بات‌چیت کر رہی ہے ۔,0.8624879
/content/flickr30k_images/1001465944.jpg,An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .,Un hombre asiático que lleva un traje negro se encuentra cerca de una mujer de pelo oscuro y una mujer de pelo castaño.,身穿黑西装的亚洲男子站在一个黑头发女人和棕头发女人的旁边。,ایک سیاہ عورت اور ایک سیاہ عورت عورت کے قریب موجود ہے.,0.8836563
/content/flickr30k_images/1001633352.jpg,Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs .,Tres jóvenes y una joven que lleva zapatillas están saltando en el aire en la parte superior de un vuelo de escaleras de hormigón.,三名青年男子和一名身穿运动鞋的青年女子正在水泥楼梯飞行的顶端的空中跳跃。,تین نوجوان نوجوان اور نوجوان کپڑے پہنتے ہیں جو چھتوں کے اُوپر چڑھنے والی سیڑھیاں کے اُوپر اُوپر اُڑتے ہیں ۔,0.8883409
/content/flickr30k_images/1001773457.jpg,A black dog and a white dog with brown spots are staring at each other in the street .,Un perro negro y un perro blanco con manchas marrones se miran el uno al otro en la calle.,一条黑狗和一条棕色斑点的白狗在街上盯着对方看。,ایک سفید کتا اور سفید کتا سفید کتا سڑک میں ایک دوسرے کی طرف دیکھتے ہیں ۔,0.8887982
/content/flickr30k_images/1001896054.jpg,A man with reflective safety clothes and ear protection drives a John Deere tractor on a road .,Un hombre con ropa de seguridad reflectante y protección de oídos conduce un tractor John Deere en una carretera.,一名身穿反射安全服、戴耳防护的男子驾驶一辆约翰·迪雷拖拉机在路上行驶。,ایک ایسا شخص جو تحفظ فراہم کرتا ہے اور اُس کی حفاظت کرتا ہے وہ کسی سڑک پر کوئی راستہ نہیں نکالتا ۔,0.855183
/content/flickr30k_images/100207720.jpg,A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter .,Una joven con cabello oscuro y gafas está poniendo polvo blanco en un pastel usando un tamiz .,一名身着黑头发和戴眼镜的年轻女子正在用筛选器把白粉放在蛋糕上。,کیک کا استعمال کرنے والی ایک نوجوان عورت سیاہ بال سے اور کپڑے پہنے ہوئے سفید رنگ کا نل کر رہی ہے ۔,0.8796576
/content/flickr30k_images/1002674143.jpg,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .,Una niña pequeña en la hierba juega con las pinturas de los dedos en frente de un lienzo blanco con un arco iris en él.,"草地上的一个小女孩在白色画布前用指纸玩耍, 上面有彩虹。",گھاس میں ایک چھوٹی بچی کی انگلیوں کے سامنے سفید رنگوں سے بنی ہوئی ہے ۔,0.82763916
/content/flickr30k_images/1003163366.jpg,a man sleeping on a bench outside with a white and black dog sitting next to him .,un hombre durmiendo en un banco afuera con un perro blanco y negro sentado a su lado.,"一个男人睡在外面的长凳上,坐在他旁边的一只白黑狗。",ایک آدمی سفید اور سفید کتا اُسکے پاس بیٹھے ہوئے تھے ۔,0.83236676
/content/flickr30k_images/1003428081.jpg,"Two women , both wearing glasses , are playing clarinets and an elderly woman is playing a stringed instrument .","Dos mujeres , ambos con gafas , están tocando clarinete y una mujer de edad avanzada está tocando un instrumento de cuerda .","两名身戴眼镜的妇女正在玩单簧管, 一名老年妇女正在玩弦乐器。",دو عورتیں کپڑے پہنے ہوئے ہیں اور ایک عمررسیدہ عورت کھیل رہی ہیں ۔,0.8522332
/content/flickr30k_images/100444898.jpg,A person in gray stands alone on a structure outdoors in the dark .,Una persona en gris se para sola en una estructura al aire libre en la oscuridad .,灰色人独自站在黑暗的户外结构上。,ایک سفید شخص اندھیرے میں گھر کے باہر باہر باہر کھڑا رہتا ہے ۔,0.8851937
/content/flickr30k_images/1006452823.jpg,"two children , a girl and a boy are practicing their writing .","dos niños, una niña y un niño están practicando su escritura.",两个孩子、一个女孩和一个男孩在练习写作。,دو بچے ، ایک لڑکی اور لڑکے لکھ رہے ہیں ۔,0.8813353
/content/flickr30k_images/100652400.jpg,A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .,Un hombre con un sombrero duro azul y chaleco de seguridad naranja se para en una intersección mientras sostiene una bandera.,"穿着蓝色硬帽和橙色安全背心的男人站在十字路口,",ایک نیلی ٹوپی اور نادیدہ محفوظ جانور ایک جھنڈے پر سوار ہوتے ہیں ۔,0.7656521
