image_path,en_caption,caption_es,caption_zh,caption_ur,similarity
/content/flickr30k_images/1000092795.jpg,Two young guys with shaggy hair look at their hands while hanging out in the yard .,Dos chicos jóvenes con el pelo shaggy mirar a sus manos mientras que colgando en el patio.,两个毛发发发型的年轻人 一边在院子里晃来晃去 一边看着自己的手,لوکی بال کے دو لڑکے اپنے ہاتھوں کی طرف دیکھ رہے ہیں جب وہ صحن میں باہر کھڑے ہو رہے ہیں۔,0.7748721
/content/flickr30k_images/1000344755.jpg,Someone in a blue shirt and hat is standing on stair and leaning against a window .,Alguien con una camisa azul y sombrero está de pie en la escalera y apoyado en una ventana.,"穿着蓝衬衫和帽子的人站在楼梯上,靠在窗户上。",کوئی نیلے چہرے اور ٹوپی میں کھڑے ہو کر کھڑکی سے نیچے کھڑے ہو جاتا ہے ۔,0.8568866
/content/flickr30k_images/1000523639.jpg,Two people in the photo are playing the guitar and the other is poking at him .,Dos personas en la foto están tocando la guitarra y la otra le está pinchando.,"照片中的两个人在弹吉他,",تصویر میں دو لوگ ان کے پاس کھیل رہے ہیں اور دوسرے اس پر مذاق کر رہے ہیں.,0.81404895
/content/flickr30k_images/1000919630.jpg,A man sits in a chair while holding a large stuffed animal of a lion .,Un hombre se sienta en una silla mientras sostiene un gran animal de peluche de un león.,一个男人坐在椅子上 拿着狮子的一只大动物,ایک آدمی شیر کے بڑا جانور رکھ کر کندھے پر بیٹھ جاتا ہے ۔,0.81353337
/content/flickr30k_images/1001545525.jpg,Two men in Germany jumping over a rail at the same time without shirts .,Dos hombres en Alemania saltando sobre una barandilla al mismo tiempo sin camisas.,"德国有两人同时跳过铁路,",جرمنی میں دو آدمیوں نے اُسی وقت ایک ہی دم کے بغیر ایک ہی وقت میں اُوپر اُٹھنے والی سائیکلوں پر دوڑنا شروع کر دیا ۔,0.75234514
/content/flickr30k_images/1001633352.jpg,Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs .,Tres jóvenes y una joven que lleva zapatillas están saltando en el aire en la parte superior de un vuelo de escaleras de hormigón.,三名青年男子和一名身穿运动鞋的青年女子正在水泥楼梯飞行的顶端的空中跳跃。,تین نوجوان نوجوان اور نوجوان کپڑے پہنتے ہیں جو چھتوں کے اُوپر چڑھنے والی سیڑھیاں کے اُوپر اُوپر اُڑتے ہیں ۔,0.79207784
/content/flickr30k_images/1001773457.jpg,A black dog and a white dog with brown spots are staring at each other in the street .,Un perro negro y un perro blanco con manchas marrones se miran el uno al otro en la calle.,一条黑狗和一条棕色斑点的白狗在街上盯着对方看。,ایک سفید کتا اور سفید کتا سفید کتا سڑک میں ایک دوسرے کی طرف دیکھتے ہیں ۔,0.80905485
/content/flickr30k_images/100197432.jpg,Some women are standing in front of a bus with buildings behind it .,Algunas mujeres están de pie frente a un autobús con edificios detrás de él.,"有些妇女站在一辆公共汽车前,",بعض عورتیں بس کی جگہ کے سامنے کھڑے ہیں ۔,0.770667
/content/flickr30k_images/100207720.jpg,A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter .,Una joven con cabello oscuro y gafas está poniendo polvo blanco en un pastel usando un tamiz .,一名身着黑头发和戴眼镜的年轻女子正在用筛选器把白粉放在蛋糕上。,کیک کا استعمال کرنے والی ایک نوجوان عورت سیاہ بال سے اور کپڑے پہنے ہوئے سفید رنگ کا نل کر رہی ہے ۔,0.790242
/content/flickr30k_images/1003420127.jpg,"A group of adults , inside a home , sitting on chairs arranged in a circle , playing a type of musical instruments .","Un grupo de adultos, dentro de una casa, sentados en sillas dispuestas en un círculo, tocando un tipo de instrumentos musicales.","一群成年人在家中坐在椅子上,",بالغوں کا ایک گروہ ، گھر کے اندر ، کرسیوں پر بیٹھے ہوئے ایک دائرے میں بیٹھے ہوئے موسیقی بجانے کا بندوبست کرتا ہے ۔,0.8664564
/content/flickr30k_images/1005216151.jpg,A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .,Un hombre en una camiseta blanca mira hacia la cámara rodeada por una multitud cerca de una estación de metro .,"身穿白色T恤衫的男人看着摄像头,",ایک سفید ٹی ٹی-بی میں ایک آدمی کے ارد گرد ایک ہجوم کے قریب ایک ہجوم کے پاس نظر آتا ہے.,0.7510413
/content/flickr30k_images/1006452823.jpg,"two children , a girl and a boy are practicing their writing .","dos niños, una niña y un niño están practicando su escritura.",两个孩子、一个女孩和一个男孩在练习写作。,دو بچے ، ایک لڑکی اور لڑکے لکھ رہے ہیں ۔,0.8507243
/content/flickr30k_images/1007320043.jpg,A small child grips onto the red ropes at the playground .,Un niño pequeño se agarra a las cuerdas rojas en el parque infantil .,一个小孩抓住操场的红绳子,ایک چھوٹا بچہ سُرخ چھڑی بجانے میں سرخ رسیوں کو پکڑ لیتا ہے ۔,0.7972652
/content/flickr30k_images/100845130.jpg,Five people walking with a multicolored sky in the background .,Cinco personas caminando con un cielo multicolor en el fondo.,5个人在背景中带着多色天空行走。,پانچ لوگ پس‌منظر میں مختلف آسمان کے ساتھ جا رہے ہیں ۔,0.7932888
/content/flickr30k_images/10090841.jpg,A man with black hair sits in a restaurant with a glass of beer .,Un hombre de pelo negro se sienta en un restaurante con un vaso de cerveza.,一个黑头发的男人坐在餐厅里 喝着啤酒,ایک سیاہ بال کے ساتھ ایک آدمی لوہے کے شیشے میں بیٹھ کر بیٹھ جاتا ہے ۔,0.7689983
/content/flickr30k_images/1009434119.jpg,A black and white dog is running in a grassy garden surrounded by a white fence .,Un perro blanco y negro corre en un jardín herboso rodeado de una cerca blanca.,一只黑白狗在被白栅栏包围的草地花园里跑来跑去。,سفید اور سفید کتا ایک سفید باغ میں چلا رہا ہے جس میں سفید باڑ سے گھیرے ہوئے ہے ۔,0.88644105
/content/flickr30k_images/1010031975.jpg,"Five men , uniformly dressed in white shirts , tie and black slacks converse at the back of an open van .","Cinco hombres, vestidos uniformemente con camisas blancas, corbata y pantalones negros conversan en la parte posterior de una furgoneta abierta.","五个人穿着白色衬衫, 领带和黑裤子在开着的面包车后面交汇。",پانچ مرد، سفید رنگوں میں سفید رنگ، کپڑے اور کھلے وین کے پیچھے سیاہ بحث کرتے ہیں۔,0.8478765
/content/flickr30k_images/1010087179.jpg,A tan man with a backwards hat looks at the camera while walking through a factory .,Un hombre bronceado con un sombrero hacia atrás mira a la cámara mientras camina a través de una fábrica.,一个戴反面帽子的棕色男子在穿过工厂时看着相机。,ایک ٹوپی والی ٹوپی کے ساتھ ایک آدمی ایک فیکٹری میں چلنے کے دوران سٹیشنوں کی طرف دیکھتا ہے ۔,0.78345203
/content/flickr30k_images/10101477.jpg,"Man wearing a blue and white outfit , holding a broom , with a traditional Asian architecture in the background .","Hombre con un traje azul y blanco , sosteniendo una escoba , con una arquitectura asiática tradicional en el fondo .","身穿蓝色白色衣物, 拿着扫帚,",انسان ایک نیلے اور سفید لباس پہنتا ہے اور پس منظر میں روایتی ایشیا کے ساتھ ایک روایتی ماحول برقرار رکھتا ہے ۔,0.82360965
/content/flickr30k_images/1010470346.jpg,two men in florescent vests are standing next to parked cars in front of a small building while one of them converses with a driver and a woman on a bike is seen riding by,"dos hombres en chalecos florescentes están de pie al lado de coches estacionados delante de un pequeño edificio, mientras que uno de ellos conversa con un conductor y una mujer en una bicicleta se ve","一辆小楼前停着汽车,旁边有两名男子身着荧光背心,坐在一辆小楼前的汽车旁边,其中一人与一名司机交谈,一名骑自行车的妇女被看见骑着自行车。",دو آدمی ایک چھوٹی سی عمارت کے سامنے کھڑے ہیں جب ان میں سے ایک کہتا ہے کہ سائیکل پر سوار کسی عورت اور عورت کو سائیکل چلا رہا ہے,0.8054545
/content/flickr30k_images/101093045.jpg,"A man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier .","Un hombre de negro se acerca a un extraño objeto de plata que contiene una persona, mientras que muchos espectadores observan desde detrás de una barrera acordonada.","黑衣人接近奇异的银器,里面有一个人,而许多旁观者则从隔墙外的绳子后面观察。",ایک سیاہ چاندی میں ایک آدمی کے پاس ایک عجیب سا چاندی ہے جس میں ایک شخص رہتا ہے جبکہ بہتیرے لوگوں کو ایک رسی میں جکڑا ہوا نظر آتا ہے ۔,0.75340176
/content/flickr30k_images/1012212859.jpg,White dog with brown ears standing near water with head turned to one side .,Perro blanco con orejas marrones de pie cerca del agua con la cabeza girada a un lado.,有棕色耳朵的白狗 站在水边 头转向一边,سُرخ رنگ کی مانند سفید سُرخ کتا اور پانی کے قریب تھے جس سے سر پر ایک طرف مڑے ہوئے تھے ۔,0.754784
/content/flickr30k_images/1013536888.jpg,"Women are seated at a picnic table eating , while a man in a white t-shirt and a yellow and orange balloon design on his head stands in the background .","Las mujeres están sentadas en una mesa de picnic comiendo , mientras que un hombre en una camiseta blanca y un diseño de globo amarillo y naranja en su cabeza se para en el fondo .","女性坐在野餐桌边吃东西, 一名男子身着白色T恤衫, 头上设计黄色和橙色气球,",خواتین ایک میز پر بیٹھی ہیں، جبکہ ایک سفید شیشے میں ایک آدمی ہے اور زرد رنگ کا نارخ رنگ اور ایک نارنجی رنگ کے رنگ میں اس کے سر پر موجود ہے.,0.7847493
/content/flickr30k_images/1014785440.jpg,Two men are carrying children on their backs down the street on a sunny day in a nice neighborhood .,Dos hombres llevan a sus hijos a la espalda por la calle en un día soleado en un bonito barrio.,"有两个男人背着孩子在街上, 在阳光明媚的一天,",دو آدمی ایک اچھے علاقے میں روشنی میں اپنے بچوں کی پیٹھ پر گلی میں جا رہے ہیں.,0.8326058
/content/flickr30k_images/1015118661.jpg,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .,Sonriente chico en camisa blanca y pantalones vaqueros azules en frente de la pared de roca con el hombre en monos detrás de él.,"穿着白衬衫和蓝色牛仔裤的笑男孩在石墙前,",سفید چہرے میں لڑکے اور نیلے رنگ کی دیوار کے سامنے پتھر کی دیوار میں آدمی کے پیچھے.,0.81289035
/content/flickr30k_images/1015712668.jpg,A man in a red long-sleeved shirt bikes over a body of water on a bridge .,Un hombre en una camisa roja de manga larga bicicletas sobre un cuerpo de agua en un puente.,一个穿红色长袖衬衫骑自行车的男人 骑在桥上的一具水上,ایک سرخ رنگ کے ایک آدمی نے ایک پُل پر پانی کے جسم پر ایک پانی کے جسم پر سائیکلوں کا نشان لگا دیا.,0.801114
/content/flickr30k_images/101654506.jpg,The white and brown dog is running over the surface of the snow .,El perro blanco y marrón está corriendo sobre la superficie de la nieve.,白色和棕色的狗 正在跑过雪的表面。,برف کی سطح پر سفید اور سرخ کتا چل رہا ہے ۔,0.8626583
/content/flickr30k_images/1018057225.jpg,a boy in a black t-shirt and blue jeans is pushing a toy three wheeler around a small pool .,un chico en una camiseta negra y vaqueros azules está empujando un juguete de tres ruedas alrededor de una pequeña piscina.,一个穿着黑色T恤和蓝色牛仔裤的男孩 正在一个小池子里推着一个玩具三轮车,ایک سیاہ سی ٹی وی اور نیلے رنگ کے ایک چھوٹے سے حوض کے گرد ایک لڑکے کو ہلا رہا ہے.,0.7741755
/content/flickr30k_images/101958970.jpg,A man and a little girl happily posing in front of their cart in a supermarket .,Un hombre y una niña feliz posando delante de su carro en un supermercado.,一个男人和一个小女孩 快乐地在超市的马车前 摆着姿势,ایک مرد اور ایک چھوٹی سی لڑکی اپنی کار کے سامنے خوشی سے خوش ہو کر خوش ہوتے ہیں ۔,0.7969154
/content/flickr30k_images/102030371.jpg,A man wearing a green shirt and a dark colored vest is sitting at a table with a glass of water in front of him .,Un hombre que lleva una camisa verde y un chaleco de color oscuro está sentado en una mesa con un vaso de agua en frente de él.,"身穿绿衬衫和深色背心的男子坐在桌子上,",ایک شخص ایک سبز چہرے کا لباس پہنتا ہے اور سبز رنگ کے کپڑے اُس کے سامنے ایک میز پر بیٹھتا ہے ۔,0.75139105
/content/flickr30k_images/1020651753.jpg,A white dog is trying to catch a ball in midair over a grassy field .,Un perro blanco está tratando de atrapar una pelota en el aire sobre un campo de hierba.,一只白狗试图在半空中 在一个草地上钓到一个球,ایک سفید کتا کو وسط میں گھاس کے ایک کھیت پر لٹکانے کی کوشش کر رہا ہے ۔,0.8168508
/content/flickr30k_images/1021293940.jpg,Two men are hiking in a forest where snow is partially covering the ground .,Dos hombres están haciendo senderismo en un bosque donde la nieve está cubriendo parcialmente el suelo.,"两人正在森林中徒步旅行,",اِن میں سے دو آدمی ایک جنگل میں رہتے ہیں جہاں برف زمین پر گِرا دیا جاتا ہے ۔,0.7873411
/content/flickr30k_images/1021332107.jpg,"An elderly man with facial hair and glasses , standing in his living room holding a hutch cabinet with glass doors .","Un anciano con pelo facial y gafas , de pie en su sala de estar con un gabinete de cabaña con puertas de cristal .","一个长着面部毛发和眼镜的老人, 站在起居室里,",ایک عمررسیدہ شخص چہرے کے بال اور پُرانے کمرے میں کھڑے ہوکر اپنے کمرے کو شیشے کے دروازے سے چُھو لیتا ہے ۔,0.79113305
/content/flickr30k_images/1021439420.jpg,"two guys sitting on the floor , with the guy in the green jacket reading a piece of paper .","dos chicos sentados en el suelo, con el tipo en la chaqueta verde leyendo un pedazo de papel.","两个家伙坐在地板上, 和那个穿绿色夹克的家伙 在看一张纸。",دو لوگ فرش پر بیٹھے ہوئے آدمی کے ساتھ، ہرے رنگ میں کاغذ کا ایک ٹکڑا پڑھا.,0.821681
/content/flickr30k_images/1021442086.jpg,"A bearded man wearing glasses , a red shirt , and a hat is reading a map while sitting in a car .","Un hombre barbudo con gafas , una camisa roja , y un sombrero está leyendo un mapa mientras se sienta en un coche .",戴着眼镜、红衬衫、戴帽子的胡子男子坐在车里时正在看地图。,داڑھی رکھنے والا داڑھی ، لال رنگ اور ٹوپی گاڑی میں بیٹھے وقت ایک نقشے کی تلاوت کر رہا ہے ۔,0.8284791
/content/flickr30k_images/1022454332.jpg,a large lake with a lone duck swimming in it with several people around the edge of it .,un gran lago con un pato solitario nadando en él con varias personas alrededor del borde de él.,"湖边有一只独鸭, 周围有好几个人。",اِس جھیل میں ایک بہت بڑی جھیل ہے جس میں اِس پر سوار بہت سے لوگ اِسے اِس کے گرد گِرا دیتے ہیں ۔,0.753021
/content/flickr30k_images/102268204.jpg,Three men are standing at night near a black car near a shelter filled with bicycles .,Tres hombres están de pie por la noche cerca de un coche negro cerca de un refugio lleno de bicicletas.,"三名男子在晚上站在一辆黑色汽车附近,",تین آدمی رات کے وقت ایک سیاہ کار کے قریب کھڑے ہیں ۔,0.82278985
/content/flickr30k_images/1024138940.jpg,Two different breeds of brown and white dogs play on the beach .,Dos razas diferentes de perros marrones y blancos juegan en la playa.,两种不同的棕色和白色狗 在海滩上玩耍。,سبز اور سفید کتوں کی دو مختلف اقسام ساحل پر کھیل رہی ہیں ۔,0.8617793
/content/flickr30k_images/1024613706.jpg,Two young men and a young lady walk through a field near the water .,Dos jóvenes y una jovencita caminan por un campo cerca del agua.,两名青年男子和一名年轻女子在水边的田里走过。,دو نوجوان اور ایک نوجوان عورت پانی کے قریب ایک کھیت میں چل رہی ہیں ۔,0.8767205
/content/flickr30k_images/102520526.jpg,"A man in black attire shovels snow into the street , disregarding all public safety .","Un hombre con atuendo negro palas de nieve en la calle, sin tener en cuenta toda la seguridad pública.","身穿黑色衣服的男人在街上下雪,",سیاہ لباس میں ایک شخص گلی میں برف‌باری رہتا ہے اور ہر عوامی حفاظتی حفاظت کو نظرانداز کرتا ہے ۔,0.8363456
