image_path,en_caption,caption_es,caption_zh,caption_ur
/content/flickr30k_images/1000092795.jpg,Two young guys with shaggy hair look at their hands while hanging out in the yard .,Dos chicos jóvenes con el pelo shaggy mirar a sus manos mientras que colgando en el patio.,两个毛发发发型的年轻人 一边在院子里晃来晃去 一边看着自己的手,لوکی بال کے دو لڑکے اپنے ہاتھوں کی طرف دیکھ رہے ہیں جب وہ صحن میں باہر کھڑے ہو رہے ہیں۔
/content/flickr30k_images/10002456.jpg,Several men in hard hats are operating a giant pulley system .,Varios hombres con sombreros duros están operando un sistema de polea gigante.,几个戴硬帽的男人 正在运行一个巨大的滑轮系统。,سخت ٹوپیوں میں بہت سے مرد ایک کیمیائی عمل کو تشکیل دے رہے ہیں ۔
/content/flickr30k_images/1000268201.jpg,A child in a pink dress is climbing up a set of stairs in an entry way .,Un niño en un vestido rosa es subir un conjunto de escaleras en una manera de entrada.,穿粉红色裙子的孩子 爬上楼梯 进入的方式。,ایک بچہ سنہرے لباس میں سیڑھیوں کے ایک سیٹ پر چڑھ رہا ہے ۔
/content/flickr30k_images/1000344755.jpg,Someone in a blue shirt and hat is standing on stair and leaning against a window .,Alguien con una camisa azul y sombrero está de pie en la escalera y apoyado en una ventana.,"穿着蓝衬衫和帽子的人站在楼梯上,靠在窗户上。",کوئی نیلے چہرے اور ٹوپی میں کھڑے ہو کر کھڑکی سے نیچے کھڑے ہو جاتا ہے ۔
/content/flickr30k_images/1000366164.jpg,"Two men , one in a gray shirt , one in a black shirt , standing near a stove .","Dos hombres, uno en camisa gris, uno en camisa negra, de pie cerca de una estufa.","两个男人,一个穿灰色衬衫, 一个穿黑色衬衫, 站在炉子附近。",دو آدمی ایک چہرے پر ایک سفید چہرے کے قریب کھڑے ہو جاتے ہیں ۔
/content/flickr30k_images/1000523639.jpg,Two people in the photo are playing the guitar and the other is poking at him .,Dos personas en la foto están tocando la guitarra y la otra le está pinchando.,"照片中的两个人在弹吉他,",تصویر میں دو لوگ ان کے پاس کھیل رہے ہیں اور دوسرے اس پر مذاق کر رہے ہیں.
/content/flickr30k_images/1000919630.jpg,A man sits in a chair while holding a large stuffed animal of a lion .,Un hombre se sienta en una silla mientras sostiene un gran animal de peluche de un león.,一个男人坐在椅子上 拿着狮子的一只大动物,ایک آدمی شیر کے بڑا جانور رکھ کر کندھے پر بیٹھ جاتا ہے ۔
/content/flickr30k_images/10010052.jpg,A girl is on rollerskates talking on her cellphone standing in a parking lot .,Una chica está en patines hablando en su teléfono móvil de pie en un estacionamiento.,一个女孩在云层上 说话 用她的手机 站在停车场。,ایک لڑکی اپنے موبائل فون پر بات‌چیت کر رہی ہے ۔
/content/flickr30k_images/1001465944.jpg,An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .,Un hombre asiático que lleva un traje negro se encuentra cerca de una mujer de pelo oscuro y una mujer de pelo castaño.,身穿黑西装的亚洲男子站在一个黑头发女人和棕头发女人的旁边。,ایک سیاہ عورت اور ایک سیاہ عورت عورت کے قریب موجود ہے.
/content/flickr30k_images/1001545525.jpg,Two men in Germany jumping over a rail at the same time without shirts .,Dos hombres en Alemania saltando sobre una barandilla al mismo tiempo sin camisas.,"德国有两人同时跳过铁路,",جرمنی میں دو آدمیوں نے اُسی وقت ایک ہی دم کے بغیر ایک ہی وقت میں اُوپر اُٹھنے والی سائیکلوں پر دوڑنا شروع کر دیا ۔
/content/flickr30k_images/1001573224.jpg,Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window .,Cinco bailarines de ballet se dieron un salto medio en un estudio de baile con la luz del sol entrando por una ventana.,"五名芭蕾舞者在舞蹈工作室中中途跳跃,",جب سورج کی روشنی میں آ رہی تھی تو پانچ لوگ سورج کی روشنی میں بھاگتے تھے اور ایک کھڑکی سے آتے تھے ۔
/content/flickr30k_images/1001633352.jpg,Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs .,Tres jóvenes y una joven que lleva zapatillas están saltando en el aire en la parte superior de un vuelo de escaleras de hormigón.,三名青年男子和一名身穿运动鞋的青年女子正在水泥楼梯飞行的顶端的空中跳跃。,تین نوجوان نوجوان اور نوجوان کپڑے پہنتے ہیں جو چھتوں کے اُوپر چڑھنے والی سیڑھیاں کے اُوپر اُوپر اُڑتے ہیں ۔
/content/flickr30k_images/1001773457.jpg,A black dog and a white dog with brown spots are staring at each other in the street .,Un perro negro y un perro blanco con manchas marrones se miran el uno al otro en la calle.,一条黑狗和一条棕色斑点的白狗在街上盯着对方看。,ایک سفید کتا اور سفید کتا سفید کتا سڑک میں ایک دوسرے کی طرف دیکھتے ہیں ۔
